HOUR,PRICE
872,334.0
873,339.65
874,337.08
875,336.5
876,332.92
877,337.6
878,340.0
879,340.0
880,340.0
881,340.0
882,340.0
883,340.0
884,340.0
885,337.6
886,337.6
887,337.6
888,337.6
889,337.6
890,337.6
891,337.6
892,333.58
893,338.0
894,335.15
895,341.0
896,343.51
897,343.51
898,349.99
899,351.15
900,351.16
901,337.69
902,337.69
903,333.58
904,333.58
905,334.22
906,334.22
907,336.0
908,336.0
909,336.0
910,334.03
911,336.0
912,331.0
913,354.99
914,345.64
915,342.98
916,323.41
917,322.2
918,322.0
919,332.0
920,320.96
921,324.96
922,320.82
923,324.99
924,318.52
925,316.0
926,324.06
927,324.06
928,324.06
929,324.06
930,322.53
931,320.28
932,320.28
933,320.28
934,320.28
935,320.28
936,325.0
937,321.97
938,321.54
939,321.01
940,331.77
941,332.83
942,335.17
943,330.0
944,336.99
945,336.99
946,334.99
947,334.61
948,338.99
949,339.0
950,337.37
951,335.51
952,332.0
953,333.01
954,333.01
955,333.01
956,333.09
957,333.09
958,333.01
959,339.56
960,339.7
961,333.0
962,336.0
963,334.51
964,334.6
965,335.7
966,338.0
967,335.49
968,334.5
969,336.0
970,335.5
971,335.41
972,335.9
973,334.36
974,335.36
975,335.36
976,330.01
977,331.9
978,330.15
979,330.15
980,330.15
981,330.15
982,330.15
983,334.0
984,335.37
985,334.24
986,332.9
987,332.9
988,333.0
989,332.9
990,333.0
991,334.25
992,336.6
993,334.9
994,332.9
995,333.5
996,335.75
997,332.8
998,332.8
999,334.1
1000,332.23
1001,332.0
1002,332.6
1003,332.6
1004,332.6
1005,332.6
1006,333.47
1007,327.5
1008,327.2
1009,328.0
1010,326.24
1011,325.9
1012,327.99
1013,326.16
1014,328.0
1015,328.0
1016,328.0
1017,327.13
1018,325.01
1019,318.88
1020,316.03
1021,311.01
1022,318.0
1023,319.04
1024,317.98
1025,317.98
1026,317.09
1027,319.39
1028,320.0
1029,323.6
1030,323.37
1031,325.0
1032,323.6
1033,320.86
1034,324.99
1035,323.92
1036,323.59
1037,320.0
1038,320.0
1039,321.0
1040,321.48
1041,320.51
1042,321.0
1043,320.5
1044,320.99
1045,321.0
1046,321.0
1047,323.88
1048,325.31
1049,326.99
1050,327.33
1051,326.81
1052,327.59
1053,326.29
1054,326.73
1055,327.23
1056,326.89
1057,324.64
